2014-09-09 22:08:28,253 INFO  yusoof-0 thread-0 [ run-77, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,263 INFO  yusoof-0 thread-0 [ run-78, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,277 INFO  yusoof-0 thread-0 [ run-79, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,287 INFO  yusoof-0 thread-0 [ run-80, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,301 INFO  yusoof-0 thread-0 [ run-81, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,308 INFO  yusoof-0 thread-0 [ run-82, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,317 INFO  yusoof-0 thread-0 [ run-83, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,327 INFO  yusoof-0 thread-0 [ run-84, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,336 INFO  yusoof-0 thread-0 [ run-85, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,343 INFO  yusoof-0 thread-0 [ run-86, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,354 INFO  yusoof-0 thread-0 [ run-87, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,362 INFO  yusoof-0 thread-0 [ run-88, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,372 INFO  yusoof-0 thread-0 [ run-89, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,381 INFO  yusoof-0 thread-0 [ run-90, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,388 INFO  yusoof-0 thread-0 [ run-91, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,395 INFO  yusoof-0 thread-0 [ run-92, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,408 INFO  yusoof-0 thread-0 [ run-93, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,415 INFO  yusoof-0 thread-0 [ run-94, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,425 INFO  yusoof-0 thread-0 [ run-95, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,433 INFO  yusoof-0 thread-0 [ run-96, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,442 INFO  yusoof-0 thread-0 [ run-97, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,450 INFO  yusoof-0 thread-0 [ run-98, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,461 INFO  yusoof-0 thread-0 [ run-99, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,475 INFO  yusoof-0 thread-0 [ run-100, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,484 INFO  yusoof-0 thread-0 [ run-101, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,495 INFO  yusoof-0 thread-0 [ run-102, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,503 INFO  yusoof-0 thread-0 [ run-103, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,510 INFO  yusoof-0 thread-0 [ run-104, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,523 INFO  yusoof-0 thread-0 [ run-105, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,532 INFO  yusoof-0 thread-0 [ run-106, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,542 INFO  yusoof-0 thread-0 [ run-107, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,553 INFO  yusoof-0 thread-0 [ run-108, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,567 INFO  yusoof-0 thread-0 [ run-109, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,580 INFO  yusoof-0 thread-0 [ run-110, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,589 INFO  yusoof-0 thread-0 [ run-111, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,596 INFO  yusoof-0 thread-0 [ run-112, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,603 INFO  yusoof-0 thread-0 [ run-113, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,610 INFO  yusoof-0 thread-0 [ run-114, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,616 INFO  yusoof-0 thread-0 [ run-115, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,623 INFO  yusoof-0 thread-0 [ run-116, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,629 INFO  yusoof-0 thread-0 [ run-117, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,636 INFO  yusoof-0 thread-0 [ run-118, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,644 INFO  yusoof-0 thread-0 [ run-119, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,652 INFO  yusoof-0 thread-0 [ run-120, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,660 INFO  yusoof-0 thread-0 [ run-121, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,668 INFO  yusoof-0 thread-0 [ run-122, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,675 INFO  yusoof-0 thread-0 [ run-123, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,685 INFO  yusoof-0 thread-0 [ run-124, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,693 INFO  yusoof-0 thread-0 [ run-125, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,703 INFO  yusoof-0 thread-0 [ run-126, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,713 INFO  yusoof-0 thread-0 [ run-127, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,724 INFO  yusoof-0 thread-0 [ run-128, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,734 INFO  yusoof-0 thread-0 [ run-129, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,742 INFO  yusoof-0 thread-0 [ run-130, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,757 INFO  yusoof-0 thread-0 [ run-131, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,772 INFO  yusoof-0 thread-0 [ run-132, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,783 INFO  yusoof-0 thread-0 [ run-133, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,794 INFO  yusoof-0 thread-0 [ run-134, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,805 INFO  yusoof-0 thread-0 [ run-135, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,814 INFO  yusoof-0 thread-0 [ run-136, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,824 INFO  yusoof-0 thread-0 [ run-137, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,840 INFO  yusoof-0 thread-0 [ run-138, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,848 INFO  yusoof-0 thread-0 [ run-139, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,861 INFO  yusoof-0 thread-0 [ run-140, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,878 INFO  yusoof-0 thread-0 [ run-141, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:28,900 INFO  yusoof-0 thread-0 [ run-142, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 834 bytes
